entity_id,name,missing_surfaces,missing_identity_signals,missing_category_context,has_category,has_neighborhood,missing_inputs
913d0ff0-d6c7-4d51-aa8d-d7648a032e2f,"303 Boards",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
458736ac-8598-4041-9166-a90c49571a8b,"Alondra Park",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
8c1f1388-1b7c-4194-af89-b9e178c44044,"Alondra Park Golf Course",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
6c4e5dea-f676-4c3d-83ab-23af9847987d,"Alondra Park Soccer Fields",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
42e95c9b-d020-4840-8c7e-697f423f563f,"Alondra Park Splash Pad & Pool",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
6fec9063-8b8b-4a6b-81a5-4b0f1758871f,"Angeles National Golf Club",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
0c9a557b-16e1-496e-b6c4-2bebd0a81e75,"Apollonia’s Pizzeria",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
1904da65-e687-4550-9c19-74f697b86021,"Arcadia County Park Tennis Courts",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
5da20021-2499-40cd-8883-28971dfe7b9c,"Army Surplus Warehouse",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
367e3ab7-31d2-4739-aeca-f623b7740688,"Ba Fang Dumpling",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
d8315160-6378-47e9-acb6-3c571cca7663,"Balboa Golf Course",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
a978247e-a1eb-4cd3-99c0-01dfd8e08448,"Bao Dim Sum House",true,true,true,false,false,"merchant_surfaces|identity_signals|category|neighborhood"
809c6f33-984d-4dff-aab2-6eec7cba90bc,"Bell Gardens Sports Complex",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
e8f0de0e-9fd8-40ce-b983-5f4bc1ceb43d,"Belvedere Aquatic Center",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
3ebe544c-d9bd-43c6-a3e3-4b441f03a67c,"Berenjak",true,true,true,false,false,"merchant_surfaces|identity_signals|category|neighborhood"
f45b645e-6691-4ac0-9e14-2e26d50b0bd2,"Best Shawarma",true,true,true,false,true,"merchant_surfaces|identity_signals|category"
0f18bf5b-644c-42de-8456-5192b12a661a,"Beverly Hills Tennis (La Cienega Park Courts)",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
a55c759f-ae9f-4a04-887d-da8a205d47d3,"Boarders LA",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
3242b227-3a85-4908-b8d0-68a92d0bcdcb,"Bomb Chicken",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
4bc02fa3-0823-464d-945f-f3b3a8bc07fc,"Brookside Golf Club (Pasadena)",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
b473c903-6a03-4a38-bc9d-4628d9f950f3,"Burbank Lawn Bowling Club",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
